,chroma_stft_mean,rms_mean,spectral_bandwidth_mean,spectral_centroid_mean,spectral_rolloff_mean,zero_crossing_rate_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,result
14,0.44478202,0.03184004,1580.5938828700043,1393.5358295248773,2548.6083984375,0.07607886904761904,-452.5489,144.40082,-2.787,52.59736,-16.052416,18.870039,-10.4729595,6.064431,-22.636238,-9.477752,-19.698574,-28.031998,1.836527,-4.650206,4.8739824,-10.248686,16.809574,-11.439135,-10.816532,7.0716815,0
15,0.4449953,0.03184012,1580.869325536641,1393.8592179286336,2549.6337890625,0.07628813244047619,-452.59402,144.41927,-2.7754292,52.589878,-16.021553,18.864637,-10.468736,6.084194,-22.633053,-9.504031,-19.691658,-28.038181,1.8306249,-4.6082163,4.8797264,-10.257842,16.79537,-11.455193,-10.813785,7.0717316,0
16,0.4465463,0.020955583,1775.2788586278791,1767.5405755484026,3539.678596047794,0.10831227022058823,-535.27313,111.517296,-9.503812,29.653168,-5.087307,21.808977,-1.550235,13.084038,-10.482212,-5.7037725,-6.3360753,-13.743887,3.3662596,2.5577574,6.221399,-5.7734423,9.750012,-5.174331,1.4200692,11.0408535,0
17,0.44616064,0.020955717,1775.2081959489917,1766.7458113154312,3538.7286017922793,0.10861385569852941,-535.2313,111.50426,-9.52859,29.613571,-5.1150317,21.84754,-1.5371327,13.094511,-10.503158,-5.69589,-6.3037796,-13.714905,3.3809268,2.5258913,6.1983647,-5.807883,9.762474,-5.129582,1.3976299,11.024881,0
18,0.41047388,0.021833163,1612.4071334647397,1738.7494254179333,3175.5807976973683,0.10671086896929824,-487.12918,120.2041,-27.953053,32.271072,-13.401669,32.700237,3.5291529,14.217204,-16.997557,-12.532569,-13.228262,-20.946712,6.219757,2.8624215,8.785401,-5.6951294,5.2842264,-8.650351,6.3912077,4.404121,0
19,0.41056493,0.021833135,1611.7783363752155,1738.5416447519624,3173.6919202302633,0.10648814418859649,-487.11,120.20027,-27.971815,32.220856,-13.438713,32.731106,3.5207155,14.196501,-16.98021,-12.498152,-13.2227335,-20.992968,6.2226973,2.892838,8.780786,-5.700626,5.2867336,-8.606128,6.4098516,4.3734975,0
20,0.43482167,0.03636768,1648.2838752321695,1373.6860099808,2546.6951695884145,0.0739210175304878,-460.07275,137.85858,20.505148,41.715027,-16.066315,27.708725,-0.0646173,13.459854,-17.191118,-6.585703,-32.5086,-33.985603,13.44312,-9.771233,5.0633216,-5.693559,-1.754858,-10.302504,2.4313333,4.992899,0
21,0.40947887,0.034674972,1537.7964340002407,1347.4686321572278,2640.350700827206,0.07625804227941177,-460.3489,152.08638,6.082205,45.585434,-17.701729,18.424438,4.535492,12.110644,-16.885141,-12.380866,-37.287403,-25.784023,14.382278,-11.889226,0.1253071,-8.51376,-4.3303413,-14.645237,5.598599,14.425374,0
22,0.5536925,0.05308557,1663.883576767952,1193.8808744848188,2366.9775390625,0.04746636284722222,-364.45712,152.1405,3.709839,28.418745,9.223188,8.432855,-8.925379,3.965077,-8.200072,2.3070207,-7.085173,2.777064,-0.34757707,-4.415001,-0.11944929,-1.7413102,0.88227946,5.4917955,-1.8519576,2.2687528,0
23,0.3919476,0.034388784,1605.636995886927,1346.211663353296,2554.8103578629034,0.06394909274193548,-468.36978,154.11111,17.537973,47.516335,-21.326605,25.889288,6.961518,16.047915,-23.116735,-20.280298,-39.76687,-28.63042,14.521607,-9.411548,3.7424705,-13.696075,1.055173,-9.927153,4.5090737,9.171938,0
