,chroma_stft_mean,mel,tone,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,result
25,0.3919193,0.051821783,-0.004825196858551974,-501.889,163.57181,23.744907,52.099426,-36.71721,28.53891,15.685566,-3.1925972,-20.5691,-15.909958,-33.02316,-17.41362,5.3395095,-8.641393,8.546074,-10.834401,2.6611676,-8.753208,7.6406813,4.57806,1
26,0.39198622,0.051822387,-0.004823872629151222,-501.89148,163.5757,23.734697,52.095642,-36.68342,28.50312,15.67731,-3.1754901,-20.540459,-15.953311,-33.041637,-17.451607,5.3736267,-8.587294,8.570702,-10.870161,2.6101174,-8.740511,7.6737046,4.5959234,1
27,0.41056493,0.051702023,-0.000761282827207411,-487.11,120.20027,-27.971815,32.220856,-13.438713,32.731106,3.5207155,14.196501,-16.98021,-12.498152,-13.2227335,-20.992968,6.2226973,2.892838,8.780786,-5.700626,5.2867336,-8.606128,6.4098516,4.3734975,1
28,0.3919476,0.08759102,0.005882976585398272,-468.36978,154.11111,17.537973,47.516335,-21.326605,25.889288,6.961518,16.047915,-23.116735,-20.280298,-39.76687,-28.63042,14.521607,-9.411548,3.7424705,-13.696075,1.055173,-9.927153,4.5090737,9.171938,1
29,0.4428921,0.068864,-0.002505404911045053,-539.4378,130.54723,9.875504,26.432081,-9.1778345,16.980194,-2.2312357,10.07651,-18.138998,-1.4229857,-12.6006975,-23.443666,-0.7606439,-5.276655,7.106412,-6.715811,9.732429,2.2556212,-6.5914974,3.9993396,1
30,0.39189696,0.08759101,0.005882669423585198,-468.3181,154.09851,17.499893,47.525936,-21.338463,25.907381,6.91386,16.002913,-23.073198,-20.250494,-39.729237,-28.65654,14.478882,-9.40456,3.75863,-13.718996,1.0409828,-9.929861,4.4802504,9.242195,1
31,0.409411,0.051114433,-0.0018742166963345473,-512.59216,136.98044,14.995234,55.624065,-27.546988,29.478628,14.889388,6.581182,-27.199654,-15.331734,-29.209816,-21.592112,10.755767,-2.1413987,0.62030065,-16.759892,12.800296,-12.768448,0.4690375,7.256926,1
32,0.41980606,0.076805815,0.005064612330149195,-462.99725,121.07732,-30.77206,29.49185,-15.995856,22.116997,-0.48572335,7.5869827,-18.12715,-2.8244214,0.90976685,-10.791907,-0.9104852,-3.1403153,3.9145582,-13.222784,9.6891985,-4.1497483,-5.562487,3.5720816,1
33,0.4429512,0.068864346,-0.002526674440755911,-539.42084,130.57704,9.843762,26.426373,-9.124421,17.011578,-2.2177155,10.05211,-18.142597,-1.4395143,-12.611823,-23.403578,-0.7511767,-5.2793937,7.133502,-6.7033324,9.739307,2.2439663,-6.584275,4.039031,1
34,0.41974196,0.076805644,0.005011711869933655,-462.9864,121.06663,-30.780563,29.49787,-15.999588,22.105469,-0.49321115,7.5623665,-18.153683,-2.8030758,0.9005003,-10.77746,-0.8729961,-3.1412263,3.9173357,-13.250733,9.6868925,-4.1334968,-5.5611544,3.5746195,1
35,0.43478078,0.11788014,-0.01619125881638556,-460.0748,137.8619,20.496302,41.703804,-16.047575,27.710161,-0.083132744,13.44504,-17.20061,-6.5842667,-32.49892,-33.97563,13.436635,-9.767882,5.05904,-5.7161455,-1.7677629,-10.299993,2.4212244,4.982925,1
36,0.42187104,0.101194024,0.00878502752561835,-454.15405,149.45892,6.87858,38.293064,-19.998741,24.761343,4.726919,9.33288,-23.373085,-8.5174885,-23.314283,-29.466757,-5.8577037,1.9498994,7.5468326,-21.739693,16.48326,-0.91076076,-6.9144764,4.081507,1
37,0.430512,1.116123,0.013432669123118668,-374.25558,123.620575,-16.366655,23.127512,-3.925477,19.09727,-4.2906976,7.020378,-11.082102,-7.469426,-10.174577,-11.275226,3.869503,-10.3140135,0.7523011,-1.4964184,-4.382461,-10.230408,5.168259,-0.45362633,1
38,0.3856267,0.7727154,-0.0031423764025321635,-347.51776,177.97229,-16.248648,40.190243,9.491643,21.427437,-1.4886053,-5.439301,-37.785877,-10.148201,-8.991341,-33.28508,1.2568913,-7.967566,4.772483,-3.5154538,0.5586638,1.3161528,-9.144524,-3.2951803,1
39,0.4024589,0.6040891,0.015674749009907018,-385.22748,169.80563,6.534949,45.933754,3.963606,23.649326,-4.976521,1.1254617,-31.334135,-5.3972898,-19.733776,-34.043694,9.366513,-9.850642,5.96852,-4.0090284,1.3448473,-4.0137935,-5.0401883,-3.2131236,1
40,0.42580283,0.514042,-0.009124562266862543,-381.38403,183.50922,-5.5797567,35.699364,-3.402154,18.297188,5.27827,-3.3495414,-38.428547,-7.139258,-8.822369,-33.56311,-4.934517,-4.918013,11.562805,-10.084038,2.8364277,1.2817961,-13.945051,-5.4229007,1
41,0.42580482,0.5140428,-0.009125968064150185,-381.405,183.51588,-5.5621996,35.688095,-3.4209976,18.30084,5.3040123,-3.3473134,-38.433804,-7.1381454,-8.835724,-33.568146,-4.9323688,-4.921481,11.583481,-10.084498,2.8172631,1.2879419,-13.939477,-5.4238944,1
42,0.41966298,0.5401238,0.0019840881252826846,-374.96127,173.26457,-11.067069,47.56844,-0.0035893577,15.45652,-4.793276,1.3177544,-34.968624,-6.8486047,-7.2817106,-36.226963,-1.2045108,-3.3496752,10.176185,-7.022698,-2.1650743,0.38492644,-7.6514153,-7.1766233,1
43,0.43053985,1.1161236,0.013429940155606368,-374.25266,123.62998,-16.368132,23.119764,-3.9292042,19.093292,-4.2907662,7.018495,-11.080543,-7.473185,-10.181985,-11.268417,3.881884,-10.310814,0.7496223,-1.4972869,-4.387308,-10.231424,5.1693153,-0.46101448,1
44,0.4196013,0.540125,0.0019821845751605977,-374.95853,173.2574,-11.0574465,47.586285,-0.029936709,15.438527,-4.7840137,1.323468,-34.962234,-6.8490777,-7.280553,-36.222878,-1.2228044,-3.3570597,10.197312,-7.015043,-2.1539502,0.38369548,-7.662303,-7.18069,1
