,chroma_stft_mean,mel,tone,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,result
10,0.3651909,0.17458466,0.0017639098574078708,-457.39224,157.95235,48.703896,26.286057,6.056463,-22.239912,-5.013581,15.855842,-17.799473,-14.767902,-19.415377,-5.111848,1.3467766,-2.4091408,0.8081931,7.5122724,-1.3963301,2.2089648,-1.2434326,8.186283,1
11,0.38296056,0.14454496,-0.009514494796487758,-444.2119,147.9972,31.540438,27.610136,7.458327,-17.973078,-4.171553,12.566464,-23.191175,-12.144747,-22.816715,-6.879847,0.014873641,2.5354111,0.44452047,5.9451017,-8.883061,0.9047205,0.39478144,8.15157,1
12,0.38213417,0.18745144,-0.01590540959189497,-450.753,176.26486,32.71622,21.961946,2.0205083,-28.5346,0.9990128,18.000677,-25.796139,-7.52441,-4.5289936,-9.1302805,-6.786189,-7.0028157,-6.0438113,11.775253,-4.4621787,3.6684017,-3.7667453,1.8931085,1
13,0.3987949,0.0862602,-0.009348829842721383,-494.05664,159.36485,52.026554,27.51519,-0.3827405,-26.055853,-3.3762507,17.662626,-20.542538,-10.057281,-7.6063123,-8.581445,2.66248,-0.22724439,-0.8463277,7.82085,-6.394129,1.6136264,-8.093203,3.2643452,1
14,0.42428842,0.1429242,-0.005853840542831966,-461.10648,153.98897,50.381348,28.49403,-4.4179087,-26.09123,-1.8435327,20.738571,-19.437843,-10.600507,-16.8606,-12.269037,1.215452,-4.498783,-0.54940134,7.2698355,-7.207791,5.726437,-4.6716933,-0.9397073,1
15,0.42073554,0.020513592,0.0007918114397805695,-561.6148,141.14418,52.513382,29.825357,-8.462146,-14.461437,0.7432167,9.605947,-11.168437,-0.4025796,-12.596726,-12.035885,-3.0345068,2.1222186,-3.0653853,4.212043,-2.3395286,1.3846108,-3.877459,4.2621546,1
16,0.43409768,0.06927613,0.008112971933142242,-533.0877,130.99347,41.102203,24.070293,6.7736974,-0.06792925,-0.03925057,6.330108,-14.854305,-2.9612303,-8.86381,-9.063685,4.0195146,0.5258414,-3.5021048,6.366511,-5.5042787,4.321065,-1.7732718,3.0936224,1
17,0.41554096,0.10115711,-0.006270611507331726,-477.77493,148.7017,47.0971,27.654688,7.217553,-14.85976,4.784739,9.980699,-25.909334,-10.817151,-13.007384,-10.468702,2.357829,-1.5709327,-4.2259545,10.165812,-6.979163,5.676261,0.36301696,1.0762597,1
18,0.3929316,0.09169456,0.006145424195636472,-484.0875,163.63962,31.509886,26.60479,30.45226,0.8652839,-9.067955,-1.5732367,-17.338198,-10.858649,-6.371964,4.2282963,-3.769835,-6.0414166,-0.79835325,14.105665,-16.520918,0.76238525,4.781819,-2.605713,1
19,0.3957504,0.10765009,0.0003255539651328905,-506.2233,171.41306,49.52824,31.793955,19.7882,-8.823679,-3.4245112,-2.324489,-23.916138,-13.178659,-14.778886,-4.7695813,-5.971617,-0.70753616,-0.7907997,13.076603,-6.60258,-4.9302545,-2.188731,0.24213606,1
